split,class_id,class_name,annotations,pct
train,0,capped,14798,13.99
train,1,eggs,8067,7.63
train,2,honey,13547,12.81
train,3,larves,13687,12.94
train,4,nectar,16594,15.69
train,5,other,21984,20.79
train,6,pollen,17065,16.14
val,0,capped,4884,22.18
val,1,eggs,2158,9.80
val,2,honey,1780,8.08
val,3,larves,4295,19.50
val,4,nectar,2464,11.19
val,5,other,2923,13.27
val,6,pollen,3516,15.97
eval,0,capped,573,5.65
eval,1,eggs,1547,15.24
eval,2,honey,773,7.62
eval,3,larves,1357,13.37
eval,4,nectar,1257,12.39
eval,5,other,3316,32.68
eval,6,pollen,1325,13.06
